visitID,hubID,name,address,open,close,service_time,demand:weight:kg,demand:volume:m3,longitude,latitude,tag
EDKK2483,1,Store - Tammy,"871 Matthew Landing Suite 835
North Sharon, CO 55350",7:00:00,18:00:00,30,100,10,107.070246,-6.368227,default
LDIO1583,1,Store - Kevin,"9200 Timothy Gardens Apt. 473
Williamton, KY 13725",7:00:00,18:00:00,30,100,10,107.073428,-6.386666,
KDNN3593,1,Store - Douglas,"2507 Laura Radial Suite 559
Berrymouth, OH 02233",7:00:00,18:00:00,30,100,10,107.08942,-6.419877,default
DSJN4713,1,Store - Isaac,"67344 Williams Fork
Mooreburgh, IL 82534",7:00:00,18:00:00,30,100,10,107.091037,-6.471128,"default,dsdsd"
KJDK3603,1,Store - Michelle,"30421 James FerryEast Eric, OK 37397",10:00:00,18:00:00,30,700,10,107.076219,-6.437663,
EDKK2484,1,Store - Natalie,"6348 Joel Grove Apt. 345
East Charles, RI 75707",7:00:00,18:00:00,30,100,10,107.064336,-6.436186,default
LDIO1584,1,Store - Jamie,"96906 Douglas Roads
Michaelland, MI 53518",7:00:00,18:00:00,30,100,10,106.989089,-6.498613,default
KDNN3594,1,Store - Ryan,"Unit 3317 Box 6660
DPO AP 65797",7:00:00,18:00:00,30,100,10,107.00273,-6.510485,
DSJN4714,1,Store - David,"92273 Joseph Tunnel
Gambleside, UT 51755",7:00:00,18:00:00,30,100,10,107.050369,-6.512675,default
KJDK3604,1,Store - Derek,"USNS Palmer
FPO AP 74007",7:00:00,18:00:00,30,100,10,107.057538,-6.435328,default
EDKK2485,1,Store - Julia,"93416 Glenn Square Suite 287
Hallbury, AR 38902",7:00:00,18:00:00,30,100,10,107.052388,-6.414323,
LDIO1585,1,Store - John,"055 Michelle Villages Suite 119
New Alexismouth, OH 02033",7:00:00,18:00:00,30,100,10,107.024981,-6.404862,default
KDNN3595,1,Store - David,"410 Ethan Street
Ryanstad, CA 24699",7:00:00,18:00:00,30,100,10,106.999428,-6.404156,default
DSJN4715,1,Store - Lisa,"Unit 6066 Box 4936
DPO AP 04119",7:00:00,18:00:00,30,100,10,107.033489,-6.397548,
KJDK3605,1,Store - Brian,"Unit 6719 Box 9006
DPO AP 28428",7:00:00,18:00:00,30,100,10,107.046281,-6.405066,default
EDKK2486,1,Store - Patricia,"312 Tonya Mission Suite 171North Tracymouth, ND 74742",7:00:00,18:00:00,30,1000,10,107.053244,-6.347141,default
LDIO1586,1,Store - Christopher,"6638 Stephanie Ranch
New Williamport, WA 54514",7:00:00,18:00:00,30,100,10,107.053141,-6.298575,
KDNN3596,1,Store - Samantha,"66811 Olivia Terrace Apt. 624
North Robertville, PA 25292",7:00:00,18:00:00,30,100,10,107.022309,-6.308169,default
DSJN4716,1,Store - Mark,"960 Cunningham Points Apt. 139
New Vincentview, ME 08349",7:00:00,18:00:00,30,100,10,106.912101,-6.436734,default
KJDK3606,1,Store - Ronald,"96028 Vasquez Grove
Robertside, ND 40142",7:00:00,18:00:00,30,100,10,106.957238,-6.425417,
EDKK2487,1,Store - Dr.,"45783 Bates Lock Suite 243
Sparksview, CO 82725",7:00:00,18:00:00,30,100,10,106.964843,-6.450144,default
LDIO1587,1,Store - William,"PSC 2064, Box 8491
APO AA 15636",7:00:00,18:00:00,30,100,10,106.963284,-6.395358,default
KDNN3597,1,Store - Julie,"PSC 1681, Box 9076
APO AP 47785",7:00:00,18:00:00,30,100,10,106.982775,-6.367207,
DSJN4717,1,Store - Brandon,"9617 Sharon Extensions
Port Joshuafort, NY 28813",7:00:00,18:00:00,30,100,10,106.992895,-6.32288,default
KJDK3607,1,Store - Gregory,"867 Karen Brooks
Lake Adambury, SD 69200",7:00:00,18:00:00,30,100,10,106.963327,-6.350001,default
EDKK2488,1,Store - Daniel,"899 Jennifer SpurSmithmouth, MT 65387",7:00:00,18:00:00,30,500,10,106.957215,-6.318745,
LDIO1588,1,Store - Kathryn,"Unit 9452 Box 0906
DPO AP 52860",7:00:00,18:00:00,30,100,10,106.957405,-6.313175,default
KDNN3598,1,Store - Victoria,"272 Nicole Mountains
Port Patriciabury, VA 80270",7:00:00,18:00:00,30,100,10,106.890598,-6.404217,default
DSJN4718,1,Store - Courtney,"75145 John Island Suite 117
Lake Christineburgh, MD 71373",7:00:00,18:00:00,30,100,10,106.888537,-6.387109,
KJDK3608,1,Store - Debra,"8185 Miller Mountains
Lake Alexander, MS 82218",7:00:00,18:00:00,30,100,10,106.867762,-6.298914,default
EDKK2489,1,Store - Lisa,"045 Thomas Wall
Angelburgh, CA 45907",7:00:00,18:00:00,30,100,10,106.88151,-6.314506,default
LDIO1589,1,Store - Daniel,"USNV Garcia
FPO AE 09984",7:00:00,18:00:00,30,100,10,106.909311,-6.306082,
KDNN3599,1,Store - Jessica,"253 Nathan Underpass
East Lisa, DE 99265",7:00:00,18:00:00,30,100,10,106.911493,-6.341288,default
DSJN4719,1,Store - David,"384 Henson Centers Apt. 772
Juliaton, WV 89570",7:00:00,18:00:00,30,100,10,106.89253,-6.460162,default
KJDK3609,1,Store - Colton,"31291 Sherri Plaza Apt. 781
Ashleychester, ME 59033",7:00:00,18:00:00,30,100,10,106.888431,-6.474643,
EDKK2490,1,Store - Tanya,"60724 Christine Hills Suite 326
New Emilybury, KY 41323",7:00:00,18:00:00,30,100,10,106.890203,-6.497471,default
LDIO1590,1,Store - Lisa,"474 Price Station Apt. 664
Morrowborough, MO 70231",7:00:00,18:00:00,30,100,10,106.864079,-6.527958,default
KDNN3600,1,Store - Adam,"63723 Stevenson Alley Suite 789
New Terrancemouth, CT 03154",7:00:00,18:00:00,30,100,10,106.870883,-6.463356,
DSJN4720,1,Store - John,"41222 Dana Plains
Burkefurt, SD 33773",7:00:00,18:00:00,30,100,10,106.863956,-6.446746,default
KJDK3610,1,Store - Christopher,"705 Misty Trail Suite 539
Petersenchester, WY 51933",7:00:00,18:00:00,30,100,10,106.858686,-6.397238,default
EDKK2491,2,Store - David,"265 Carly Freeway Apt. 309
New Kelly, AZ 23592",7:00:00,18:00:00,30,100,10,106.9552,-6.29887,
LDIO1591,2,Store - Jason,"9715 Elizabeth Cove
North Mariafort, DC 47003",7:00:00,18:00:00,30,100,10,106.934316,-6.342302,default
KDNN3601,2,Store - Clarence,"252 Stephenson Trace Suite 088
South Claire, LA 55042",7:00:00,18:00:00,30,100,10,106.892318,-6.450563,default
DSJN4721,2,Store - Dawn,"42698 Alex Expressway Suite 336
East Angelaland, NC 95070",7:00:00,18:00:00,30,100,10,106.921026,-6.367954,
KJDK3611,2,Store - Nancy,"908 Mejia Meadows
North Anneton, ME 40939",7:00:00,18:00:00,30,100,10,107.042283,-6.411871,default
EDKK2492,2,Store - Joshua,"397 Scott Tunnel
Josephshire, WA 27772",7:00:00,18:00:00,30,100,10,107.046683,-6.427414,default
LDIO1592,2,Store - Scott,"9037 Roger Ways Suite 587
Kellyberg, MI 80646",7:00:00,18:00:00,30,100,10,107.090588,-6.520887,
KDNN3602,2,Store - Alexandra,"256 Alicia Dale Suite 388
Tammymouth, MT 28967",7:00:00,18:00:00,30,100,10,107.040336,-6.433955,default
DSJN4722,2,Store - Kristen,"8817 Fernando Groves Apt. 915
Annahaven, NV 82149",7:00:00,18:00:00,30,100,10,107.037614,-6.416641,default
KJDK3612,2,Store - Courtney,"9270 Collins Estates
East David, GA 60751",7:00:00,18:00:00,30,100,10,107.03779,-6.404319,
EDKK2493,2,Store - Alicia,"505 Brian Streets Suite 114
Frankton, NJ 57694",7:00:00,18:00:00,30,100,10,106.878064,-6.378243,default
LDIO1593,2,Store - Christopher,"86046 Cruz Village
Lake Joditown, NY 58880",7:00:00,18:00:00,30,100,10,106.869916,-6.41537,default
KDNN3603,2,Store - Brian,"4720 Kevin Land Apt. 494
South Kyle, IN 73236",7:00:00,18:00:00,30,100,10,106.863,-6.469875,
DSJN4723,2,Store - Michael,"485 Anthony Spur
Lake Tara, ME 74572",7:00:00,18:00:00,30,100,10,106.882944,-6.449194,default
KJDK3613,2,Store - Jacob,"79839 Scott Ford
Lake Scott, AZ 63188",7:00:00,18:00:00,30,100,10,106.965627,-6.383452,default
EDKK2494,2,Store - Brianna,"464 Blake Courts
Samanthatown, GA 60335",7:00:00,18:00:00,30,100,10,106.930956,-6.490764,
LDIO1594,2,Store - Gregory,"6791 Kimberly Center Suite 822
Port Tracyfort, DC 66455",7:00:00,18:00:00,30,100,10,107.050796,-6.340318,default
KDNN3604,2,Store - Anna,"5493 Daniel Passage Suite 733
South Ryan, CO 84041",7:00:00,18:00:00,30,100,10,107.027348,-6.325753,default
DSJN4724,2,Store - Scott,"99111 Hoover Viaduct
Nicoleville, ND 23810",7:00:00,18:00:00,30,100,10,107.017271,-6.493894,
KJDK3614,2,Store - Joseph,"855 Amy Run Apt. 129
Brittanymouth, ND 39606",7:00:00,18:00:00,30,100,10,107.013693,-6.481609,default
EDKK2495,2,Store - Richard,"848 Williams Plaza Apt. 877
Kevinbury, MS 43701",7:00:00,18:00:00,30,100,10,107.024742,-6.384628,default
LDIO1595,2,Store - Victoria,"00000 Carl Curve Apt. 149
West Christinemouth, NJ 07531",7:00:00,18:00:00,30,100,10,106.978625,-6.44043,
KDNN3605,2,Store - Heather,"94612 Caldwell Mount
Howardview, KY 46948",7:00:00,18:00:00,30,100,10,106.965277,-6.440846,default
